Date:2008.01.01    Station:466920 Taipei    Time:00Z    Levels:70
[NLHMCWWAPP]:755//02112 經度:121°30′24.15〞E 緯度:25°22′2.62〞N
NO      Si        P       H      T      U        Td     WD      WS
                (hpa)   (gpm)   (℃)   (％)     (℃)   (360°) (m/s)
---------------------------------------------------------------------
1       01      1025.7  00011   11.4    57      3.2     70      2.8   
2       10      1000.0  00221   8.9     58      1.1     59      4.1   
3       10      925.0   00860   2.8     75      -1.2    57      6.5   
4       06      903.6   01048   999.9   999     999.9   59      7.3   
5       02      891.0   01161   0       92      -1.1    61      7.7   
6       06      862.5   01420   999.9   999     999.9   67      8.8   
7       10      850.0   01536   -2.8    94      -3.7    43      7.5   
8       02      837.5   01654   -3.7    89      -5.2    19      6.3   
9       02      824.8   01775   -0.3    35      -13.9   354     5.0   
10      06      822.1   01803   999.9   999     999.9   349     4.7   
11      02      806.1   01960   3.0     38      -9.9    334     5.9   
12      06      782.5   02199   999.9   999     999.9   313     7.7   
13      02      776.6   02260   0.9     72      -3.6    311     8.0   
14      02      763.2   02400   0.5     50      -8.7    307     8.7   
15      02      712.6   02947   -3.2    51      -11.9   283     13.2  
16      02      710.1   02975   -3.1    52      -11.5   282     13.5  
17      02      705.1   03031   -3.0    83      -5.5    280     13.8  
18      10      700.0   03089   -3.3    92      -4.4    277     14.2  
19      02      698.2   03108   -3.4    94      -4.2    276     14.3  
20      04      679.5   03323   999.9   999     999.9   268     15.7  
21      02      637.5   03823   -8.4    91      -9.6    265     16.9  
22      02      630.5   03908   -9.1    95      -9.7    262     18.3  
23      02      628.1   03938   -9.1    95      -9.7    261     18.7  
24      02      622.9   04003   -6.3    53      -14.3   259     19.8  
25      06      615.5   04100   999.9   999     999.9   257     21.4  
26      02      600.1   04301   5.2     34      -9.4    264     21.2  
27      02      579.7   04584   6.3     34      -8.4    274     21.9  
28      02      556.4   04921   5.7     34      -8.9    279     25.6  
29      06      530.2   05312   999.9   999     999.9   277     29.2  
30      10      500.0   05783   -1.2    34      -15.0   276     31.4  
31      04      490.9   05926   999.9   999     999.9   276     32.0  
32      02      421.3   07122   -11.9   37      -23.6   279     31.6  
33      10      400.0   07516   -15.6   38      -26.6   279     32.5  
34      02      329.9   08945   -25.7   35      -36.7   273     35.4  
35      02      301.3   09597   -30.0   35      -40.6   278     33.9  
36      10      300.0   09627   -30.3   35      -40.8   278     33.9  
37      02      270.4   10360   -35.7   999     999.9   283     35.9  
38      10      250.0   10898   -40.7   999     999.9   276     35.5  
39      10      200.0   12384   -51.2   999     999.9   270     36.9  
40      05      186.9   12818   999.9   999     999.9   268     38.5  
41      10      150.0   14189   -64.9   999     999.9   275     34.1  
42      02      145.2   14387   -66.3   999     999.9   275     34.3  
43      04      137.6   14708   999.9   999     999.9   275     34.9  
44      02      100.8   16502   -82.3   999     999.9   278     23.3  
45      10      100.0   16547   -82.2   999     999.9   278     23.1  
46      02      97.1    16709   -82.0   999     999.9   280     22.2  
47      02      83.1    17598   -77.7   999     999.9   274     17.9  
48      10      70.0    18585   -75.2   999     999.9   268     8.9   
49      02      68.8    18688   -73.3   999     999.9   272     8.1   
50      04      62.2    19298   999.9   999     999.9   279     4.9   
51      02      52.3    20352   -60.3   999     999.9   272     6.1   
52      10      50.0    20629   -61.7   999     999.9   273     6.8   
53      06      49.5    20692   999.9   999     999.9   274     6.9   
54      06      39.4    22122   999.9   999     999.9   257     6.7   
55      06      37.1    22506   999.9   999     999.9   257     6.2   
56      02      31.4    23549   -57.7   999     999.9   312     4.5   
57      06      31.1    23617   999.9   999     999.9   318     4.4   
58      10      30.0    23838   -55.6   999     999.9   338     5.2   
59      06      24.5    25133   999.9   999     999.9   76      4.9   
60      06      23.1    25511   999.9   999     999.9   101     5.8   
61      10      20.0    26442   -51.1   999     999.9   135     8.0   
62      02      19.0    26791   -51.4   999     999.9   145     9.1   
63      06      18.2    27038   999.9   999     999.9   149     9.5   
64      06      17.2    27419   999.9   999     999.9   148     10.9  
65      04      15.4    28149   999.9   999     999.9   191     12.8  
66      02      15.3    28177   -55.0   999     999.9   999     999.9 
67      02      14.7    28437   -51.3   999     999.9   999     999.9 
68      02      13.9    28778   -52.1   999     999.9   999     999.9 
69      02      13.8    28823   -49.1   999     999.9   999     999.9 
70      20      13.4    29042   -49.1   999     999.9   999     999.9 

Date:2008.01.01    Station:466920 Taipei    Time:12Z    Levels:76
[NLHMCWWAPP]:655//02117 經度:121°30′24.15〞E 緯度:25°22′2.62〞N
NO      Si        P       H      T      U        Td     WD      WS
                (hpa)   (gpm)   (℃)   (％)     (℃)   (360°) (m/s)
---------------------------------------------------------------------
1       01      1026.3  00011   11.0    59      3.3     90      3.5   
2       10      1000.0  00226   8.2     61      1.1     77      5.4   
3       10      925.0   00863   2.6     78      -0.9    66      10.3  
4       02      891.9   01156   0       87      -1.9    61      11.4  
5       04      879.6   01267   999.9   999     999.9   60      11.8  
6       10      850.0   01540   -3.1    99      -3.2    37      9.7   
7       02      839.7   01636   -4.2    87      -6.0    29      9.0   
8       06      839.3   01639   999.9   999     999.9   29      9.0   
9       02      832.8   01701   -4.8    35      -17.9   10      8.9   
10      02      830.4   01724   -4.4    33      -18.2   3       8.8   
11      02      817.3   01850   2.3     43      -9.0    325     8.6   
12      02      812.4   01899   2.9     43      -8.4    310     8.5   
13      06      802.9   01994   999.9   999     999.9   282     8.4   
14      02      786.2   02164   2.4     45      -8.3    291     7.0   
15      06      767.8   02355   999.9   999     999.9   302     5.5   
16      04      731.0   02749   999.9   999     999.9   287     9.5   
17      10      700.0   03095   -1.8    61      -8.3    277     10.2  
18      02      694.6   03156   -1.9    57      -9.3    275     10.2  
19      02      664.5   03511   1.6     32      -13.3   265     3.2   
20      04      662.0   03541   999.9   999     999.9   265     2.6   
21      02      659.6   03570   1.4     32      -13.5   271     2.6   
22      06      631.4   03922   999.9   999     999.9   345     2.3   
23      02      613.4   04153   -0.5    33      -14.8   307     9.9   
24      02      604.6   04269   0.3     33      -14.1   289     13.6  
25      04      601.8   04307   999.9   999     999.9   283     14.9  
26      02      590.9   04452   1.4     33      -13.1   277     16.8  
27      02      562.0   04856   1.1     32      -13.7   269     20.2  
28      06      546.4   05083   999.9   999     999.9   271     20.4  
29      10      500.0   05790   -3.4    31      -18.1   275     26.3  
30      02      495.3   05864   -3.9    32      -18.2   275     27.0  
31      02      422.0   07109   -12.2   33      -25.2   282     33.8  
32      10      400.0   07516   -16.1   34      -28.3   281     34.3  
33      04      366.3   08170   999.9   999     999.9   272     36.4  
34      02      300.5   09611   -29.6   32      -41.1   271     36.1  
35      10      300.0   09623   -29.7   32      -41.1   272     36.1  
36      02      291.6   09824   -31.4   999     999.9   276     36.2  
37      05      256.2   10720   999.9   999     999.9   279     38.2  
38      10      250.0   10893   -41.1   999     999.9   278     37.7  
39      10      200.0   12366   -52.8   999     999.9   282     33.6  
40      06      188.0   12761   999.9   999     999.9   281     34.2  
41      06      152.6   14060   999.9   999     999.9   270     34.9  
42      10      150.0   14168   -65.7   999     999.9   273     34.4  
43      02      138.9   14631   -68.9   999     999.9   284     31.6  
44      06      133.7   14857   999.9   999     999.9   288     29.7  
45      04      124.2   15287   999.9   999     999.9   279     32.5  
46      06      108.9   16043   999.9   999     999.9   266     27.1  
47      04      101.1   16464   -81.7   999     999.9   275     24.2  
48      10      100.0   16526   -81.6   999     999.9   276     23.7  
49      02      99.1    16575   -80.9   999     999.9   277     23.4  
50      06      85.2    17432   999.9   999     999.9   280     15.2  
51      02      72.0    18391   -78.4   999     999.9   258     9.3   
52      06      70.5    18515   999.9   999     999.9   258     8.9   
53      10      70.0    18553   -78.2   999     999.9   258     8.7   
54      02      66.5    18848   -76.3   999     999.9   264     7.6   
55      04      66.6    18851   999.9   999     999.9   265     7.6   
56      06      55.6    19933   999.9   999     999.9   267     6.9   
57      02      53.2    20190   -59.3   999     999.9   261     7.3   
58      10      50.0    20583   -58.9   999     999.9   255     8.1   
59      06      47.1    20958   999.9   999     999.9   260     7.8   
60      02      40.8    21863   -58.4   999     999.9   277     7.3   
61      06      37.7    22357   999.9   999     999.9   283     6.3   
62      02      33.2    23161   -59.1   999     999.9   258     3.3   
63      06      31.8    23430   999.9   999     999.9   255     2.4   
64      06      30.0    23784   999.9   999     999.9   207     3.4   
65      10      30.0    23789   -58.8   999     999.9   206     3.4   
66      06      25.3    24861   999.9   999     999.9   186     7.4   
67      06      21.3    25941   999.9   999     999.9   210     2.6   
68      10      20.0    26349   -56.7   999     999.9   266     1.4   
69      02      18.1    26967   -54.6   999     999.9   4       2.5   
70      04      18.0    27035   999.9   999     999.9   15      2.6   
71      06      17.0    27399   999.9   999     999.9   335     4.7   
72      06      16.0    27799   999.9   999     999.9   358     7.8   
73      02      15.8    27871   -51.7   999     999.9   358     8.1   
74      04      15.2    28123   999.9   999     999.9   359     9.4   
75      02      13.4    28945   -52.7   999     999.9   999     999.9 
76      20      13.1    29094   -51.6   999     999.9   999     999.9 

Date:2008.01.02    Station:466920 Taipei    Time:00Z    Levels:77
[NLHMCWWAPP]:2550002108 經度:121°30′24.15〞E 緯度:25°22′2.62〞N
NO      Si        P       H      T      U        Td     WD      WS
                (hpa)   (gpm)   (℃)   (％)     (℃)   (360°) (m/s)
---------------------------------------------------------------------
1       01      1026.8  00011   9.6     63      2.9     100     3.0   
2       10      1000.0  00230   8.1     61      1.0     79      7.8   
3       06      976.0   00429   999.9   999     999.9   72      11.9  
4       04      932.1   00805   999.9   999     999.9   72      13.3  
5       10      925.0   00867   2.7     75      -1.3    74      13.1  
6       06      891.7   01162   999.9   999     999.9   85      12.3  
7       02      886.3   01211   0       82      -2.7    87      11.3  
8       02      863.4   01420   -1.5    86      -3.5    99      6.6   
9       02      860.7   01445   -1.4    90      -2.8    100     6.0   
10      04      851.3   01534   999.9   999     999.9   106     4.0   
11      10      850.0   01545   1.5     97      1.1     110     4.1   
12      02      836.3   01677   3.4     89      1.8     168     4.5   
13      02      819.0   01846   3.2     95      2.5     242     5.0   
14      02      813.7   01899   4.2     56      -3.8    265     5.2   
15      06      812.5   01911   999.9   999     999.9   271     5.2   
16      02      778.3   02261   3.4     40      -8.9    309     4.2   
17      06      776.5   02279   999.9   999     999.9   312     4.2   
18      04      741.0   02656   999.9   999     999.9   319     8.0   
19      04      705.8   03044   999.9   999     999.9   317     11.5  
20      10      700.0   03111   -2.6    66      -8.1    316     10.5  
21      02      686.9   03261   -3.6    54      -11.5   314     8.2   
22      06      672.6   03428   999.9   999     999.9   312     5.8   
23      02      662.5   03548   -1.8    31      -16.7   308     9.0   
24      02      653.4   03657   -2.4    36      -15.4   305     11.9  
25      04      641.9   03801   999.9   999     999.9   302     15.7  
26      02      635.2   03884   5.0     30      -11.1   297     17.2  
27      02      617.2   04119   6.1     29      -10.6   284     21.4  
28      06      612.7   04179   999.9   999     999.9   281     22.4  
29      02      608.2   04240   5.3     29      -11.3   280     21.6  
30      04      584.0   04569   999.9   999     999.9   280     17.0  
31      02      512.9   05613   -1.9    28      -18.0   282     22.4  
32      10      500.0   05815   -3.3    28      -19.2   282     23.9  
33      02      418.1   07207   -12.9   30      -26.9   287     30.4  
34      10      400.0   07541   -16.1   32      -28.9   289     31.6  
35      02      358.9   08349   -20.5   31      -33.3   277     34.8  
36      02      330.9   08949   -24.3   30      -37.0   273     35.9  
37      04      318.7   09216   999.9   999     999.9   275     35.6  
38      02      300.6   09640   -30.6   31      -42.3   276     35.2  
39      10      300.0   09653   -30.7   31      -42.3   276     35.2  
40      10      250.0   10920   -40.1   999     999.9   287     35.8  
41      05      238.9   11224   999.9   999     999.9   285     36.5  
42      06      224.4   11645   999.9   999     999.9   281     35.8  
43      10      200.0   12406   -51.3   999     999.9   274     34.5  
44      02      170.5   13425   -58.8   999     999.9   263     34.7  
45      06      154.3   14042   999.9   999     999.9   265     32.1  
46      10      150.0   14217   -65.6   999     999.9   268     31.8  
47      06      122.7   15414   999.9   999     999.9   284     29.0  
48      04      114.8   15792   999.9   999     999.9   278     28.5  
49      02      114.3   15829   -77.1   999     999.9   278     28.3  
50      04      102.1   16469   -80.3   999     999.9   281     24.9  
51      10      100.0   16587   -79.5   999     999.9   282     24.0  
52      02      84.7    17527   -80.2   999     999.9   292     16.1  
53      02      76.9    18071   -77.6   999     999.9   293     12.3  
54      06      71.0    18544   999.9   999     999.9   288     9.2   
55      10      70.0    18619   -73.0   999     999.9   285     8.8   
56      02      63.0    19242   -70.0   999     999.9   276     6.2   
57      04      59.6    19584   999.9   999     999.9   281     5.8   
58      02      57.3    19804   -67.4   999     999.9   294     6.0   
59      06      56.2    19931   999.9   999     999.9   302     6.1   
60      10      50.0    20647   -59.7   999     999.9   288     7.1   
61      02      49.3    20738   -59.3   999     999.9   287     7.1   
62      06      47.3    20999   999.9   999     999.9   282     7.2   
63      06      44.7    21352   999.9   999     999.9   261     8.0   
64      02      38.6    22273   -56.6   999     999.9   287     5.7   
65      06      37.5    22458   999.9   999     999.9   298     5.3   
66      10      30.0    23875   -57.5   999     999.9   32      4.5   
67      06      28.0    24310   999.9   999     999.9   55      5.9   
68      06      26.4    24698   999.9   999     999.9   75      6.3   
69      02      24.9    25052   -55.0   999     999.9   78      8.1   
70      10      20.0    26466   -52.3   999     999.9   131     11.8  
71      06      18.4    27003   999.9   999     999.9   142     12.4  
72      02      17.7    27246   -50.5   999     999.9   143     11.8  
73      02      14.7    28488   -50.3   999     999.9   165     10.0  
74      02      14.3    28671   -47.5   999     999.9   170     10.2  
75      06      13.8    28911   999.9   999     999.9   176     10.7  
76      04      12.9    29315   999.9   999     999.9   191     10.2  
77      20      11.0    30368   -45.1   999     999.9   999     999.9 

Date:2008.01.02    Station:466920 Taipei    Time:12Z    Levels:74
[NLHMCWWAPP]:755//02107 經度:121°30′24.15〞E 緯度:25°22′2.62〞N
NO      Si        P       H      T      U        Td     WD      WS
                (hpa)   (gpm)   (℃)   (％)     (℃)   (360°) (m/s)
---------------------------------------------------------------------
1       01      1024.7  00011   12.0    64      5.4     90      4.6   
2       10      1000.0  00214   9.4     68      3.8     81      8.7   
3       04      974.4   00428   999.9   999     999.9   77      13.3  
4       10      925.0   00855   4.1     84      1.7     88      14.3  
5       06      886.8   01197   999.9   999     999.9   101     11.7  
6       02      882.8   01233   1.6     98      1.3     94      11.0  
7       02      881.5   01245   1.6     98      1.3     92      10.8  
8       02      859.2   01453   6.1     35      -8.2    54      7.0   
9       10      850.0   01541   6.0     34      -8.7    38      5.3   
10      06      848.3   01558   999.9   999     999.9   35      5.0   
11      02      833.5   01702   7.0     36      -7.0    348     5.5   
12      04      811.5   01921   999.9   999     999.9   279     6.3   
13      02      730.5   02772   0       58      -7.3    244     4.9   
14      10      700.0   03112   -2.7    65      -8.4    235     5.5   
15      02      687.5   03255   -3.5    69      -8.3    233     5.6   
16      02      682.1   03317   -3.3    66      -8.7    233     5.6   
17      02      676.9   03378   -2.4    59      -9.3    232     5.6   
18      04      676.2   03388   999.9   999     999.9   232     5.6   
19      02      662.6   03550   5.6     30      -10.6   223     5.8   
20      02      652.3   03678   6.5     29      -10.3   216     6.0   
21      04      645.9   03759   999.9   999     999.9   212     6.1   
22      02      629.0   03975   5.5     29      -11.1   213     10.4  
23      04      615.2   04157   999.9   999     999.9   214     14.1  
24      05      585.8   04555   999.9   999     999.9   275     37.2  
25      02      569.3   04787   2.6     27      -14.5   293     24.8  
26      06      558.0   04948   999.9   999     999.9   306     16.1  
27      10      500.0   05824   -3.3    27      -19.6   292     20.9  
28      02      451.9   06617   -8.8    30      -23.2   288     27.4  
29      10      400.0   07547   -16.0   32      -28.9   289     30.8  
30      02      385.9   07817   -17.4   31      -30.5   282     30.5  
31      04      381.5   07901   999.9   999     999.9   281     30.4  
32      06      345.1   08642   999.9   999     999.9   276     32.2  
33      02      312.7   09357   -29.4   31      -41.2   283     32.1  
34      02      300.2   09645   -31.7   31      -43.3   286     32.3  
35      10      300.0   09651   -31.7   31      -43.1   286     32.3  
36      10      250.0   10916   -40.2   999     999.9   281     31.4  
37      05      226.3   11583   999.9   999     999.9   282     33.1  
38      02      216.7   11872   -48.8   999     999.9   283     32.6  
39      10      200.0   12395   -53.0   999     999.9   284     31.1  
40      06      193.0   12623   999.9   999     999.9   282     30.1  
41      04      164.8   13616   999.9   999     999.9   275     28.3  
42      10      150.0   14192   -66.2   999     999.9   274     25.1  
43      06      147.9   14275   999.9   999     999.9   275     24.5  
44      02      128.3   15124   -73.6   999     999.9   281     22.3  
45      02      109.7   16023   -78.4   999     999.9   286     18.8  
46      10      100.0   16551   -79.2   999     999.9   299     16.0  
47      02      88.4    17244   -83.1   999     999.9   305     12.3  
48      02      77.8    17952   -82.8   999     999.9   316     9.7   
49      10      70.0    18552   -78.7   999     999.9   322     7.9   
50      02      68.3    18691   -76.5   999     999.9   320     7.1   
51      02      63.9    19089   -67.9   999     999.9   324     5.7   
52      06      60.2    19453   999.9   999     999.9   329     4.9   
53      06      56.9    19795   999.9   999     999.9   276     2.4   
54      04      50.7    20493   999.9   999     999.9   233     2.5   
55      10      50.0    20579   -63.1   999     999.9   232     2.6   
56      02      40.5    21896   -59.6   999     999.9   232     3.7   
57      06      40.4    21906   999.9   999     999.9   232     3.7   
58      06      38.2    22253   999.9   999     999.9   238     3.1   
59      06      36.0    22621   999.9   999     999.9   277     1.8   
60      06      34.0    22988   999.9   999     999.9   344     1.6   
61      06      32.1    23352   999.9   999     999.9   18      1.5   
62      02      30.8    23598   -58.4   999     999.9   64      1.6   
63      06      30.3    23708   999.9   999     999.9   85      1.6   
64      10      30.0    23766   -57.0   999     999.9   88      1.9   
65      06      26.9    24459   999.9   999     999.9   136     5.2   
66      06      22.5    25590   999.9   999     999.9   126     5.5   
67      06      20.1    26317   999.9   999     999.9   53      6.9   
68      10      20.0    26333   -55.1   999     999.9   52      6.9   
69      02      19.2    26591   -54.7   999     999.9   50      7.7   
70      06      17.8    27082   999.9   999     999.9   54      7.4   
71      02      15.6    27929   -48.4   999     999.9   106     5.4   
72      06      15.0    28196   999.9   999     999.9   118     4.4   
73      04      13.5    28890   999.9   999     999.9   122     3.5   
74      20      11.7    29848   -50.7   999     999.9   999     999.9 
